S/N,Video_ID,text,label,Language
917,FXNoo4BjNOE,Labarin yayi dadi sosai wlh next,Positive,Hausa
918,FXNoo4BjNOE,"Wae Aminu saira karfa kace duka wannan mutanen na zaune sae kowa ya bada labarinsa, tab lallai kam da sauran zama🙂🙂",Neutral,Hausa
919,FXNoo4BjNOE,Amma zamuyi maka uzuri muga mene zaii iya faruwa <br>Bisa la&#39;akari dacewa you are intelligent person,Neutral,Hausa
920,FXNoo4BjNOE,"Best director, Labarina will never end.  move forward Backward never",Positive,English
921,FXNoo4BjNOE,"Saira movie kuyi shirme ,Yaya za&#39;ace yanda su sumaya ke birge mutane ,ku tashi ku sauyasu.imma hakane abar wacan ta ida nata labari",Negetive,Hausa
922,FXNoo4BjNOE,wllh nayi dana sanin fara kallon labarina Aminu saira why now yakamata kayima presdo justice<br>sanan gaba daya film din naka bai kamata ka tsayar dashi ananba kodan spotters naka,Negetive,Hausa
923,FXNoo4BjNOE,I can&#39;t wait to see the next episode<br>I really ❤ it<br><br>I love this movie ❤❤,Positive,English
924,FXNoo4BjNOE,"Wanan shine cigaba, mu kullum mun fi so Ayi ta abu daya, Labarin sumayya ya kare, yanzu wanan sabon darasi ne wanan da nake ganin Sai yafi labarin sumayya fadakarwa",Positive,Hausa
925,FXNoo4BjNOE,Labarin nan da alama zai bada citta,Positive,Hausa
926,FXNoo4BjNOE,Hmmmm mata akwai makirci,Negetive,Hausa
927,FXNoo4BjNOE,Saban labari 😂 allah kara basira,Positive,Hausa
928,FXNoo4BjNOE,I saw my favorite Jamila in This series ❤,Positive,English
929,FXNoo4BjNOE,Wlh da karfin talauci ya tunkareta,Negetive,Hausa
930,FXNoo4BjNOE,Allah ya isah data ta Ashe  ba labarina bah,Negetive,Hausa
931,FXNoo4BjNOE,Mal Aminu Saira❤❤❤❤😂❤❤❤❤❤,Neutral,Hausa
932,FXNoo4BjNOE,Allah ya shirya aminu saira,Neutral,Hausa
933,FXNoo4BjNOE,This series honestly it&#39;s very heart touching but pls what is the name of the series/Film  pls ? 🤣,Neutral,English
934,FXNoo4BjNOE,Bata qare bafah akwai kaya a qasa,Neutral,Hausa
935,FXNoo4BjNOE,Lallai saira yakai hege ❤,Positive,Hausa
936,FXNoo4BjNOE,To wannan kuma minene,Neutral,Hausa
937,FXNoo4BjNOE,ALLAH yakara basira malam Aminu saira,Positive,Hausa
938,FXNoo4BjNOE,waga chimene bala bariba Allah ya issa lokacina da bata,Negetive,Hausa
939,FXNoo4BjNOE,Gaskiya saira nidai kaburgerni na gamsu da wannan sesin ka shigo da jarumin da na fi so a kanywood baki Daya har ka sa na tuna da salon labarin fimdinka na dan marayan zaki.muna godiya saira,Positive,Hausa
940,FXNoo4BjNOE,Kouwane iskanchine wanna zakucanza mana labarina,negetive,Hausa
941,FXNoo4BjNOE,Maryam made my day,Positive,English
942,FXNoo4BjNOE,Mi kuke nufi yenzu.ina frasdo da sumayya da kuma rabagardama.iddan basu labarin bazayayi kew ba.saboda sune chirin😂😂😂😂😂😂,Negetive,Hausa
943,FXNoo4BjNOE,WOW nice film yafi ma labarina kyau malam gaskiya Kai mai ilimi ne,Positive,Hausa
944,FXNoo4BjNOE,"We dey wllh ,Muna biye daku ,inason Sadik Sani Sadik ya aure kawar wllh who is wit me???",Positive,Hausa
945,FXNoo4BjNOE,Gaskiya aminu sayra  kabamu kunya  kuma daga yau nadena  kashe  datana ashirme,Negetive,Hausa
946,FXNoo4BjNOE,Hhhh Aminu saira da wayo wato dare ɗaya dakayi mgn kwanaki shi aka komadashi cigaban labarina.kuma wlh nidai yayimin kyau sosai Allah yaƙara basira😅❤,Positive,Hausa
947,FXNoo4BjNOE,Toh yau ko magana awran Sumaiyya baayiba saikawai akasakowani lbr Sabo Kai anayawo da hankali mu gasmiya,Negetive,Hausa
948,FXNoo4BjNOE,This new season Is so sweet<br>But the last season was very sweetness,Positive,English
949,FXNoo4BjNOE,Alhmdoulillah ❤🙏,Neutral,Hausa
950,FXNoo4BjNOE,Masha Allah Allah kara basira wllh yayi sossi,Positive,Hausa
951,FXNoo4BjNOE,Allah yakarawa Saira lfy kanayi munajin dadi duk yadda kadama haka zamu Sha 🙏🙏🙏 😂,Positive,Hausa
952,FXNoo4BjNOE,Gaskiya aminu saira yakamata wanna labari yajima sosai saboda yashiga raina,Positive,Hausa
953,FXNoo4BjNOE,Alhamdulillah wannan labarin shima yayi gaskiya akwai abun tausayi dayawa Sannan akwai kallo,Positive,Hausa
954,FXNoo4BjNOE,Nayaba da wannan tinanin lallai kacika best dracter awurina komi anaso yazama da ma&#39;ana amma sekunyi hakuri da mutane kla kala,Positive,Hausa
955,FXNoo4BjNOE,dan allah a dawo da sumayya da aliyu gaskiya film kin yafi ta fiya dai dai amma ni yanzu na kasa gane wannan film wanné iriné naga sadiq sani wanda ban san Shiba a labarina kuma yanzu na Ganshi dole nayi mamaki dan allah aminu saira a gyara,Negetive,Hausa
956,FXNoo4BjNOE,Money is life and widely accepted.alajee.,Neutral,English
957,FXNoo4BjNOE,Masha Allah wannan yy ❤❤❤,Positive,Hausa
958,FXNoo4BjNOE,Wai matar zango ce?,Neutral,Hausa
959,FXNoo4BjNOE,Dan Allah labarina ne ko wani série ne am confuse😢😢😢😢,Neutral,Hausa
960,FXNoo4BjNOE,Kai wlh Saira qarshene,Positive,Hausa
961,FXNoo4BjNOE,"Don&#39;t judge a book by it&#39;s cover, and wonder&#39;s never end",Neutral,English
962,FXNoo4BjNOE,I think maryam would marry Alamin,Neutral,English
963,FXNoo4BjNOE,Aminu saira you are trying much more but . <br>I want to seee how ummi and haidar to finish their comments.<br>And My presdor tooo,Positive,English
964,FXNoo4BjNOE,😢😢😢😢😢 Just for Maryam,Positive,English
965,FXNoo4BjNOE,Gaskiya jaki ne kai Aminu saira Nadaina kallon du wani film indai kaine director,Negetive,Hausa
966,FXNoo4BjNOE,Wannan ai shirme ne dama ka rufe labari na ka bude wani sabon series amma acikin labari kaje ka dauko wani topic daban haba what a total waste of time shine matsalan mu yan Arewa Wlh bamu wani improvement 😢,Negetive,Hausa
967,FXNoo4BjNOE,Gaskaya banjidadiba ❤❤❤❤❤,Negetive,Hausa
968,FXNoo4BjNOE,Ma sha Allah 🎉<br>Allah y Kara basira 👍🏼<br>Dan Allah a qarasamanah Labarin sumayyah😢,Neutral,Hausa
969,FXNoo4BjNOE,Wallay aminu sira ya cika producer,Positive,Hausa
970,FXNoo4BjNOE,Labarina❤,Neutral,Hausa
971,FXNoo4BjNOE,Yayikeu sosai ❤️🙏,Positive,Hausa
972,FXNoo4BjNOE,"Dollars, Dollars, where are we heading too, ladies a worshiping money ,because they are after material, leave her maryam she will regret later, finally maryam why can&#39;t you marry Al, ameen.",Negetive,English
973,FXNoo4BjNOE,Saira <br>Show me the way!😍,Neutral,English
974,FXNoo4BjNOE,Dan Allah mehaka yaxamo labarin shirme ai 😢😢 nadaina kallo daga yau,Negetive,Hausa
975,FXNoo4BjNOE,Wannan tallar maganin ai yayi yawa habaa dn allah,Negetive,Hausa
976,FXNoo4BjNOE,Hmm,Neutral,Hausa
977,FXNoo4BjNOE,An gama labarin sumayya an dawo labarin jamila 😂😂,Neutral,Hausa
978,FXNoo4BjNOE,Gaskiya saira Ka Raina mana wayau,Negetive,Hausa
979,FXNoo4BjNOE,Wannan Ai Yazama Hauka,Negetive,Hausa
980,FXNoo4BjNOE,😢 Ban&#39;ji Dadi ba Da Ba&#39;a Karasa Labarin Sumayya Ba Wlh 😮😢,Negetive,Hausa
981,FXNoo4BjNOE,Saira you&#39;re too much. Kana fadakarwa yadda zamani ke tafiya.,Positive,Hausa
982,FXNoo4BjNOE,Great,Positive,English
983,FXNoo4BjNOE,Allah yataimaka<br>Allah yakara basira wannan dimma yayi gaskiya,Positive,Hausa
984,FXNoo4BjNOE,too late,Negetive,English
985,FXNoo4BjNOE,I never watched Hausa series. <br>But u disappointed me,Negetive,English
986,FXNoo4BjNOE,labarina mun zokarchechi by,Negetive,Hausa
987,FXNoo4BjNOE,Alhamdullahi Masha gaskiya yaye dadi,Positive,Hausa
988,FXNoo4BjNOE,Cab ai aminu saira yanzu ma mukasa danbar kallon labarina ❤allah dai yakara basira sir,Positive,Hausa
989,FXNoo4BjNOE,Sera basira ta qare,Negetive,Hausa
990,FXNoo4BjNOE,Wannabadidibane aminusira aykinbazane kake,Negetive,Hausa
991,FXNoo4BjNOE,Duniya fa tana xuwa karshe bare film din hausa !,Negetive,Hausa
992,FXNoo4BjNOE,Amma gaskiya ba&#39;amana a dalceba,Negetive,Hausa
993,FXNoo4BjNOE,Just for Maryam,Neutral,English
994,FXNoo4BjNOE,Waouh nice série,Positive,English
995,FXNoo4BjNOE,Allh ya tsinewa uban da yai Asalin haihuwar Aminu saira,Negetive,Hausa
996,FXNoo4BjNOE,Late comer,Neutral,English
997,FXNoo4BjNOE,Masha Allah ❤❤❤,Neutral,Hausa
998,FXNoo4BjNOE,Gaskiya an Raina mana wayau😅,Negetive,Hausa
999,FXNoo4BjNOE,Kaibamu  son bura u bakai inawancan,Negetive,Hausa
1000,FXNoo4BjNOE,Ah gaskiya wannan film din yayi mln amn saira allah ya qara basira,Positive,Hausa
1001,FXNoo4BjNOE,"Hmmm wonders shall never end🙄inaga Allah yakawo lkcnda xan Daina kallon wannan Shirin,shekara nawa anakan Abu daya Amma at last dubi abunda yakasance,mukam saboda bamuda abunyi kenan komeye?muyi amfani da wannan time din muyita istgfari watarana xamuga amfaninsa😊",Negetive,Hausa
1002,FXNoo4BjNOE,I miss presdo,Positive,English
1003,FXNoo4BjNOE,Last last Sadik Sani Sadik will appear as multi billionaire.,Neutral,Hausa
1004,FXNoo4BjNOE,Kawai ita Maryam ta aureshi mana tunda tana tausaya masa,Neutral,Hausa
1005,FXNoo4BjNOE,Chakwakiya kenan,Neutral,Hausa
1006,FXNoo4BjNOE,Masha Allah Allah ya kara daukaka Aminu saira🥰🥰,Positive,Hausa
1007,FXNoo4BjNOE,"MAsha Allah this is the real labarina, yanzu aka fara wasa",Positive,Hausa
1008,FXNoo4BjNOE,"I didn&#39;t understand, did they take people away?",Neutral,English
1009,FXNoo4BjNOE,Wannan alhajin lawan yacika naci dan wahala 😡😡😡,Negetive,Hausa
1010,FXNoo4BjNOE,Munagodiya sosai madalla malam aminu,Positive,Hausa
1011,FXNoo4BjNOE,Kunbamu kunya ina labarina,Negetive,Hausa
1012,FXNoo4BjNOE,Azahirin gaskiya wannan film ya qayatar dani sosai  kuma yanayine da ake fama dashi a wannan lokaci  da fatan wannan shiri zaici gaba da zuwa  Allah ya qara basira mallam Aminu Sairah  Allah kuma yasa fadakarwan nan tayi amfani ga mutane masu irin wannan halaye ameen,Positive,Hausa
1013,FXNoo4BjNOE,Aslm please my question is this please did you finish the labarina please Dan Allah 😢😢,Neutral,English
1014,FXNoo4BjNOE,La haulilah al amin 😢,Neutral,Hausa
1015,FXNoo4BjNOE,Allah y shiryaka aminu 😂😂😂 yanzu haka za ae wa talaka 😂😂😂,Negetive,Hausa
1016,FXNoo4BjNOE,Gaskiya tallen masu maganinan Tallen su yayi yawa don Allah a rinqa rage tallen,Negetive,Hausa
1017,FXNoo4BjNOE,Allah ya Kara basira Mallam Aminu Saira 😢❤,Positive,Hausa
1018,FXNoo4BjNOE,All the best,Positive,English
1019,FXNoo4BjNOE,Muna tare dakai mal. Aminu har last day✊,Positive,Hausa
1020,FXNoo4BjNOE,"Saira🎉 Allah ya kara basira❤❤❤ daga Ikara Ang barau <a href=""https://www.youtube.com/watch?v=FXNoo4BjNOE&amp;t=6702"">1:51:42</a>",Positive,Hausa
1021,FXNoo4BjNOE,Nice 👍👍👍,Positive,English
1022,FXNoo4BjNOE,Muna godiya❤❤❤,Positive,Hausa
1023,FXNoo4BjNOE,Ai wannan shini daida wlh m,Positive,Hausa
1024,FXNoo4BjNOE,Sabon Babi 🤔,Neutral,Hausa
1025,FXNoo4BjNOE,This thing what you do is not good oo,Negetive,English
1026,FXNoo4BjNOE,Money,Neutral,English
1027,FXNoo4BjNOE,Raba Gardama,Neutral,Hausa
1028,FXNoo4BjNOE,A gsky Aminu saira mundena kallon wannan film din,Negetive,Hausa
1029,FXNoo4BjNOE,ma sha Allah Allah ya kara basira da daukaka alhamdulilah alhamdulilah alhamdulilah 💞💞💞💞,Positive,Hausa
1030,FXNoo4BjNOE,"we really don&#39;t want this story, we need Soumaya&#39;s story otherwise we won&#39;t watch your channel anymore",Negetive,English
1031,FXNoo4BjNOE,Toh koma menene mlm Aminu Saira yakawo zamu kalla domin MUSAN zaiyi kyau matuqa 😂😂,Positive,Hausa
1032,FXNoo4BjNOE,Kai jamma a Hausa Film yazama condem daman ameenu saira kaikadai karage mana Hausa Film Koh ciwon ulcer har abada ay,Negetive,Hausa
1033,FXNoo4BjNOE,Kudi😂😂😂,Neutral,Hausa
1034,FXNoo4BjNOE,nifa tara kawai nayi bansan inda akadosoba Dan Allah amin bayani ehe inacan inajira adaura musauke lokachi yayi Amma shiru Dan Allah amin bayani please,Neutral,Hausa
1035,FXNoo4BjNOE,Wannan labarin yafi nasu sumayya dadi da ma&#39;ana da darasi.......for me wannan yafi min dadi gaskiya,Positive,Hausa
1036,FXNoo4BjNOE,Kai saira,Negetive,Hausa
1037,FXNoo4BjNOE,Daman saira ya fada abindah ya sa ya sawa film dinnan labarina saboda za a iya barin labarin nan à koma wani  godiya mouke mln😊,Positive,Hausa
1038,FXNoo4BjNOE,I don’t understand where are previous actors,Negetive,English
1039,FXNoo4BjNOE,Gaskiya aminu saira allah yakara basira,Positive,Hausa
1040,FXNoo4BjNOE,Tohakani,Neutral,Hausa
1041,FXNoo4BjNOE,Bringing another film which we don’t no about habba,Negetive,English
1042,FXNoo4BjNOE,Mlm aminu saira amma ka raina mutane ko,Negetive,Hausa
1043,FXNoo4BjNOE,Idan basira ta karewa kare sai ya dena haushi ya koma tunkuyi,Negetive,Hausa
1044,FXNoo4BjNOE,Saira gaskiya kayi kuskuran saka sadik a film dinka ko ka manta a koy bakin malamai a kansa?,Negetive,Hausa
1045,FXNoo4BjNOE,The unfair like seriously,Negetive,Hausa
1046,FXNoo4BjNOE,"Of course, maryam is your true lover, because she told the truth.",Positive,English
1047,FXNoo4BjNOE,Welcome sadiq sani sadiq😂,Positive,English
1048,FXNoo4BjNOE,Why are you people prolonging the film,Negetive,English
1049,FXNoo4BjNOE,Gaskiya na raina TUNANINKA SAIRA,Negetive,Hausa
1050,FXNoo4BjNOE,"Gaskiya Malam Aminu Saira ka burgeni wlh, daman duk mungaji da wancen series din.",Positive,Hausa
1051,FXNoo4BjNOE,Aminu saira wetin dey sup na 😂😂,Neutral,English
1052,FXNoo4BjNOE,I Will not waste my data,Negetive,English
1053,FXNoo4BjNOE,Bamouganeba an sawya labarina,Negetive,Hausa
1054,FXNoo4BjNOE,Nifa a lissafi na maryam ita Zata auri Al amin kuma a qarshe dole zayyi arziki,Neutral,Hausa
1055,FXNoo4BjNOE,Well done sir👍 wacthing from IMO state,Positive,English
1056,FXNoo4BjNOE,Wai sumayya Ina take,Neutral,Hausa
1057,FXNoo4BjNOE,"Kai nifa bangane ba ya haka? Ina kallon film din labarina, Kuma naga wannan. Ya Mai Jin bacci ya bige da gyan gyadi 🖕",Negetive,Hausa
1058,FXNoo4BjNOE,"Aminu saira kaikuma ya zakayi hk,bka kaimu karshen lbr sumayya b kazo kana 🚶",Negetive,Hausa
1059,FXNoo4BjNOE,ya haka  saira,Negetive,Hausa
1060,FXNoo4BjNOE,munanan muna jira,Neutral,Hausa
1061,FXNoo4BjNOE,Am watching from Madagascar 🇲🇬 😌,Neutral,English
1062,FXNoo4BjNOE,But you said the story of sumaiyya hasn&#39;t finish,Neutral,English
1063,FXNoo4BjNOE,Nifah wllh qWar jamila ta burgeni sosae Allah ubangiji ya bamu irinsu,Positive,Hausa
1064,FXNoo4BjNOE,Another saga😂😂😂,Positive,English
1065,FXNoo4BjNOE,"I love this one,  Maybe this series go pass previous one",Positive,English
1066,FXNoo4BjNOE,❤ nice day,Positive,English
1067,FXNoo4BjNOE,Allah ya yiwa uwarka albarka aminu saira,Positive,Hausa
1068,FXNoo4BjNOE,Toh maiyasa baka chanza sunan film dinkawai ba gaskiya Aminu Saira bakayi tunani ba,Negetive,Hausa
1069,FXNoo4BjNOE,You no sabi anything abeg,Negetive,English
1070,FXNoo4BjNOE,Watching live from Nazareth Israel 🇮🇱,Neutral,English
1071,FXNoo4BjNOE,thank for your patience,Positive,English
1072,FXNoo4BjNOE,Allah yakara basira darecto,Positive,Hausa
1073,FXNoo4BjNOE,allhamdulillah muna godiya,Positive,Hausa
1074,FXNoo4BjNOE,Saira water magana ake tasoyya fa katausa yamasa please ❤❤❤you never love ❤❤❤❤❤❤❤❤❤❤,Neutral,Hausa
1075,FXNoo4BjNOE,Masha allah 🎉🎉🎉🎉,Neutral,Hausa
1076,FXNoo4BjNOE,Top wannan salon cinye data fah,Negetive,Hausa
1077,FXNoo4BjNOE,gaskiya banso ansaka wanna mutuminnan ba,Negetive,Hausa
1078,FXNoo4BjNOE,Tof wannan salon cin data fah,Negetive,Hausa
1079,FXNoo4BjNOE,Allah Ubangiji ya ƙara basira Mallam Aminu saira bijahi rasulillahi Sallallahu alaihi Wasallama,Positive,Hausa
1080,FXNoo4BjNOE,Labarina sabon salo,Neutral,Hausa
1081,FXNoo4BjNOE,Wannan wane irin shirme ne malam aminu,Negetive,Hausa
1082,FXNoo4BjNOE,Wallahi anraina mana da hankali shekara kusan 6 ace labari ake bada film dinda muke kallo daga sama kuma ga bakin fuskoki mungani,Negetive,Hausa
1083,FXNoo4BjNOE,Banza,Negetive,Hausa
1084,FXNoo4BjNOE,Innalillahi wa inna ilaihi raji Un😭😭😭😭 anchillamu wata duniyar🤣🤣🤣,Negetive,Hausa
1085,FXNoo4BjNOE,Gaskiya nikam Shiri Yana mini kyau a nawa ra a yin f kenan❤❤,Positive,Hausa
1086,FXNoo4BjNOE,That&#39;s wonderful news❤🎉,Positive,English
1087,FXNoo4BjNOE,Yooo tohh mu abunda xamuce ancee kad ace bamuce ba toh barin cee😂😂,Neutral,Hausa
1088,FXNoo4BjNOE,wallahi yayi kyau sosai❤❤❤,Positive,Hausa
1089,FXNoo4BjNOE,Wanan shi aké kira shirmé,Negetive,Hausa
1090,FXNoo4BjNOE,Kai guys kuyi hakuri shimafa wannan film din zai yi kyau fa sosai inde zaka hakura ka bibiyeshi,Positive,Hausa
1091,FXNoo4BjNOE,Shiri yayi kyau amma ansamu aduhu,Negetive,Hausa
1092,FXNoo4BjNOE,"Allah ka azurta mu da wakilai, abokai, da fadawa na gari.. Aameen",Neutral,Hausa
1093,FXNoo4BjNOE,"Is this another labari or what I don&#39;t understand, I start the miss presido",Neutral,English
1094,FXNoo4BjNOE,Djamila ba ci cauta ba,Negetive,Hausa
1095,FXNoo4BjNOE,Wan nan Aiba Labarina Bane,Neutral,Hausa
1096,FXNoo4BjNOE,Wnn yafi wancen dadi wlhy 🥰,Positive,Hausa
1097,FXNoo4BjNOE,An dai kawo mana wani film a cikin labari na. Ita kuma Maryam din nan meye kalan matsalan ta ne,Negetive,Hausa
1098,FXNoo4BjNOE,kaiiii amma wallahi wannan film yafi dadin labarina,Positive,Hausa
1099,FXNoo4BjNOE,Nifa wanna lbrna😂😂😂 hara yafimi labarina na farko dadi wlh,Positive,Hausa
1100,FXNoo4BjNOE,Aminu saira you are legend of kannywood,Positive,English
1101,FXNoo4BjNOE,Am loving Jamila in dis series❤,Positive,English
1102,FXNoo4BjNOE,Way mantawane akayi Aminu sahira,Neutral,Hausa
1103,FXNoo4BjNOE,Gaskiya this movie is so interesting ❤,Positive,English
1104,FXNoo4BjNOE,What is this I did not see Sumayya and presido and the other actor who are dis people,Negetive,English
1105,FXNoo4BjNOE,Haba aminu saira ka kosa 😅,Negetive,Hausa
1106,FXNoo4BjNOE,Aminu saira yane 🤦,Negetive,Hausa
1107,FXNoo4BjNOE,Kai gaskiya sera kai director ne Dan baiwa Allah yakara basira,Positive,Hausa
1108,FXNoo4BjNOE,Bilal Mustapha ya gyara shirin,Positive,Hausa
1109,FXNoo4BjNOE,Aminu saira kasamu sabani da Presdo neda su fati washa koya,Neutral,Hausa
1110,FXNoo4BjNOE,"I cant stay nd watch dis rubbish episode, tell us the truth labarina is going to an end?",Negetive,English
1111,FXNoo4BjNOE,Gaskiyya an burgani,Positive,Hausa
1112,FXNoo4BjNOE,Wlh naso acigaba da labarina na sumayya 😭😭😭gaskiya banji dadi ba,Negetive,Hausa
1113,FXNoo4BjNOE,Wow 😲😲😲,Positive,English
1114,FXNoo4BjNOE,Innalillahi wa inna ilaihi raji un dan Allah adawo labarina na farko dan Allah wallahi munfi sansa,Negetive,Hausa
1115,FXNoo4BjNOE,Kai kar ah rena mana hankali mana dan Allah,Negetive,Hausa
1116,FXNoo4BjNOE,mittssww chirmen banza wlh nayi allah wandai da dogon lokacin da na dauka ina kallon labarina danasan ahaka za a kare wlh da seson 1 bazan Kalla haba malan aminu ai da wannan chirmen da tsaida labarin kayi da yafi amfani amma dan allah chrmen yayi yawa,Negetive,Hausa
1117,FXNoo4BjNOE,Gaskiya soyayyar gaskiya a wannan zamanin tana da wuya,Neutral,Hausa
1118,FXNoo4BjNOE,Mu de mu   na jiran mai labarin ta idar da uzurin😢,Neutral,Hausa
1119,FXNoo4BjNOE,Fatan alkairi,Positive,Hausa
1120,FXNoo4BjNOE,The mai gurguwa for me,Neutral,English
1121,FXNoo4BjNOE,Yakuna haka ba kyau bacon musulmi zagim musuli Bai da kyau,Negetive,Hausa
1122,FXNoo4BjNOE,"Wato Saira akwai hikima, gunka idan wannan labari ya tafi hutu sai dayan ya dawo. Kunga masu kallo zasu kosa idan daya ya tafi akan yaushe zai dawo. Kunga ya rike masu kallo harma da kari wasu. Kuma ga labaran da dadi.",Positive,Hausa
1123,FXNoo4BjNOE,To nidai amtsyina na mekallo sai dai nace banji dadiba 😢ammakuma zamu tsaya mugayadda zata Kaya saboda abayama antaba haka lokacinda akacire Mahmud ance  labarina yabaci Amma kuma daga baya wadansu mutanen maharsunacewa garamada akacireshi  yanzudai saidai muce Allah ubangiji yajikansa yakara daukaka <br>Mukuma munana danganin yadda zatakaya Allah ubangiji yataimaka dama babu yadda Dan Adam zai iyaburgekowa saidai kadan dagaciki Allah ubangiji yataimaka 🥰 yakara basira 🎉,Positive,Hausa
1124,FXNoo4BjNOE,Labari ya dau cittah gaskiyya an burgani,Positive,Hausa
1125,FXNoo4BjNOE,Ana cikin haka se ga late comer… Innalillahi wa ina ilaihi raji un,Neutral,Hausa
1126,FXNoo4BjNOE,😂😂😂 Sadiq sani Sadiq mai diploma,Neutral,Hausa
1127,FXNoo4BjNOE,Yayi,Positive,Hausa
1128,FXNoo4BjNOE,yan wahala wllh Allah ya isa wllh data ta da lokaci na wllh,Negetive,Hausa
1129,FXNoo4BjNOE,Wannan film Dan Allah a goge sunanshi daga labarina a rubuta labarin abdul gaya😂😂😂😂,Negetive,Hausa
1130,FXNoo4BjNOE,"Gaskia bamuji dadin hakan ba allah yasa wannan lbr bazai dade bah , yama ana wani labari za&#39;a chiga wani haba dan allah",Negetive,Hausa
1131,FXNoo4BjNOE,Ikon Allah Har dasu Abdul gaya,Neutral,Hausa
1132,FXNoo4BjNOE,Gaskiya mu labarina muke so acigaba dayi 🙏🏾Ko mu dena zuwa kallo,Negetive,Hausa
1133,FXNoo4BjNOE,Wannan sauyi zaibada citta,Positive,Hausa
1134,FXNoo4BjNOE,Akwai chakwakiya,Neutral,Hausa
1135,FXNoo4BjNOE,Kun bata film din wlh<br>Aikin banza kawai,Negetive,Hausa
1136,FXNoo4BjNOE,Nima ina da labari,Neutral,Hausa
1137,FXNoo4BjNOE,Wai yaushe xa&#39;a koma asalin Labarina?,Neutral,Hausa
1138,FXNoo4BjNOE,Kai kucema aminu saira akache hakanan in basira ta kare renin hankalin yayi yawa,Negetive,Hausa
1139,FXNoo4BjNOE,Why new faces 🥺 my mum is even saying is not labari na😩,Negetive,English
1140,FXNoo4BjNOE,Wannan labarin da dadi gsky it seems that e go makes sense,Positive,English
1141,FXNoo4BjNOE,Basira takare,Negetive,Hausa
1142,FXNoo4BjNOE,As eddy pain them go sweet us 😅😅 up up saira🎉,Positive,English
1143,FXNoo4BjNOE,Ni kam nakasa gane wani film ne ma nake kallo 😂😂,Negetive,Hausa
1144,FXNoo4BjNOE,Gaskiya Yanxu kam labarina ya kare dun Wanga kam bai yi kyu ba 🤗,Negetive,Hausa
1145,FXNoo4BjNOE,This book could not be better,Negetive,English
1146,FXNoo4BjNOE,😢😢😢😢kai wannan wani irin labarine saira,Negetive,Hausa
1147,FXNoo4BjNOE,Tow wata sabuwa iko se rabbi,Neutral,Hausa
1148,FXNoo4BjNOE,Allah yaqara basira malam saira ❤❤❤,Positive,Hausa
1149,FXNoo4BjNOE,Ubangiji ya Kara basira,Positive,Hausa
1150,FXNoo4BjNOE,Wai wannan wane irin wawanci ne,Negetive,Hausa
1151,FXNoo4BjNOE,Gaksy Akwai sauran labarina awancam,Neutral,Hausa
1152,FXNoo4BjNOE,Haba dan Allah annxo ambatamana film,Negetive,Hausa
1153,FXNoo4BjNOE,Basira ta kare a hakura mana,Negetive,Hausa
1154,FXNoo4BjNOE,Which kind rubbish be this,Negetive,English
1155,FXNoo4BjNOE,Wallahi nide kamba labarina nake kallo ba,Negetive,Hausa
1156,FXNoo4BjNOE,Kae karfa Ayimin raining meyene haka,Negetive,Hausa
1157,FXNoo4BjNOE,😂😂 muna kallan kowa,Neutral,Hausa
1158,FXNoo4BjNOE,I think you finish the best series offcourse there is something around the ground 😭💘 please justice for presdor 🌟,Neutral,English
1159,FXNoo4BjNOE,Wannan ai shirme ne.. kamata yayi ta gama bada labarin su sumayya koma ya karshen ya kasance wannan ba damuwa kafin a fara bada wanin sabon series din .... hakan baiyi ba @aminu saira,Negetive,Hausa
1160,FXNoo4BjNOE,I can&#39;t see it again i&#39;m weating for de real labarina,Negetive,Hausa
1161,FXNoo4BjNOE,Nikamma bangane me nake kallo da ma😂😂😂😂😂,Negetive,Hausa
1162,FXNoo4BjNOE,"Aminu saira nasan babu disappointing a films naka, mutane zasuji dadin wannan in sha Allahu",Positive,Hausa
1163,FXNoo4BjNOE,"Definitely uncle Aminu is cooking something, we&#39;ll patiently wait for d outcome",Positive,English
1164,FXNoo4BjNOE,Na gama kallon lbrn incha Allahu,Negetive,Hausa
1165,FXNoo4BjNOE,Mungode da cin amanar mu amma is alout mun daina kallon film din Allah yasaka mana data mu na baya,Negetive,Hausa
1166,FXNoo4BjNOE,Tachin hankali labarina saban sallo,Neutral,Hausa
1167,FXNoo4BjNOE,Hauka kawai mstwe,Negetive,Hausa
1168,FXNoo4BjNOE,pls Alaji dan Gaske gwanda ka hada Aminu Saira da Presidor duk a kaisu kasar waje a duba lafiyar su,Negetive,Hausa
1169,FXNoo4BjNOE,Wai ni abunda ban Sani ba shine. An aje asalin labarina Nasu Sumayya ankoma Wani daban kenan 🤣,Neutral,Hausa
1170,FXNoo4BjNOE,Gamudai a sabon labarina,Neutral,Hausa
1171,FXNoo4BjNOE,Aminu saira ubanka jaki kawai😮,Negetive,Hausa
1172,FXNoo4BjNOE,Oyoyo sadik sani sadik,Positive,Hausa
1173,FXNoo4BjNOE,Anya zamu cigaba da kallon labarina kuwa,Negetive,Hausa
1174,FXNoo4BjNOE,"A takaice dai angama labarina, na sumaiya da rabagardama",Neutral,Hausa
1175,FXNoo4BjNOE,yayi daidaifa,Positive,Hausa
1176,FXNoo4BjNOE,Toh wata sabowa,Neutral,Hausa
1177,FXNoo4BjNOE,"Saira want to confuse us, how did you brought those people to this series? you suppose to enlighten us.",Negetive,English
